club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
FC Arouca,Eugeni,27,Attacking Midfield,SD Huesca,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Leandro Silva,27,Central Midfield,AEL Limassol,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Or Dasa,22,Attacking Midfield,Hapoel Raanana,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Oday Dabbagh,22,Left Winger,Al Arabi SC,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Abdoulaye Ba,30,Centre-Back,Moreirense,?,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Eboue Kouassi,23,Defensive Midfield,KRC Genk,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Tiago Esgaio,26,Right-Back,Braga,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Antony,19,Second Striker,Joinville-SC,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Tiago Araújo,20,Left Winger,Benfica B,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Frederick Takyi,21,Left-Back,FC Pedras Rubras,"End of loanJun 30, 2021",in,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Diogo Clemente,25,Right Winger,CF Estrela,"End of loanJun 30, 2021",in,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Diogo Clemente,25,Right Winger,Caldas,free transfer,out,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Tomás Fontes,18,Goalkeeper,Carregosense,?,out,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Heliardo,29,Centre-Forward,Varzim,loan transfer,out,Summer,NA,Liga Nos,2021,2021/2022
FC Arouca,Júnior Sena,30,Right Winger,Without Club,-,out,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Mauro Caballero,26,Centre-Forward,Without Club,-,out,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Frederick Takyi,21,Left-Back,Without Club,-,out,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Leandro Silva,27,Central Midfield,AEL Limassol,"End of loanJun 30, 2021",out,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Lawrence Ofori,23,Central Midfield,Famalicão,"End of loanJun 30, 2021",out,Summer,0,Liga Nos,2021,2021/2022
FC Arouca,Christian Vassilakis,20,Right Winger,RM Castilla,"End of loanJun 30, 2021",out,Summer,0,Liga Nos,2021,2021/2022
Belenenses SAD,Pedro Nuno,26,Left Winger,Moreirense,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Abel Camará,31,Centre-Forward,Mafra,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Yohan Tavares,33,Centre-Back,Tondela,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Trova Boni,21,Defensive Midfield,KV Mechelen,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Luiz Felipe,24,Goalkeeper,Aimoré-RS,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Rafael Santos,24,Attacking Midfield,Oriental,free transfer,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Andrija Lukovic,26,Central Midfield,Famalicão,?,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Carraça,28,Right-Back,FC Porto,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Rafael Camacho,21,Left Winger,Sporting CP,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Alisson Safira,26,Centre-Forward,Londrina-PR,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Christian Marques,18,Centre-Back,Wolves U23,loan transfer,in,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Álvaro Ramalho,22,Goalkeeper,Belenenses U23,-,in,Summer,0,Liga Nos,2021,2021/2022
Belenenses SAD,Jójó,20,Right-Back,Belenenses U23,-,in,Summer,0,Liga Nos,2021,2021/2022
Belenenses SAD,Jordan van der Gaag,22,Attacking Midfield,Belen. SAD B,-,in,Summer,0,Liga Nos,2021,2021/2022
Belenenses SAD,Gonçalo Agrelos,23,Left-Back,Belenenses U23,-,in,Summer,0,Liga Nos,2021,2021/2022
Belenenses SAD,Luís Mota,17,Centre-Forward,Belenenses U23,-,in,Summer,0,Liga Nos,2021,2021/2022
Belenenses SAD,Alioune Ndour,20,Centre-Forward,Belenenses U23,-,in,Summer,0,Liga Nos,2021,2021/2022
Belenenses SAD,Sandro,32,Centre-Back,Without Club,-,in,Summer,0,Liga Nos,2021,2021/2022
Belenenses SAD,Robinho,24,Right Winger,Penafiel,"End of loanJun 30, 2021",in,Summer,0,Liga Nos,2021,2021/2022
Belenenses SAD,Mateo Cassierra,24,Centre-Forward,Sochi,£1.08m,out,Summer,1.08,Liga Nos,2021,2021/2022
Belenenses SAD,Tiago Esgaio,26,Right-Back,Braga,£270Th.,out,Summer,0.27,Liga Nos,2021,2021/2022
Belenenses SAD,Gonçalo Silva,30,Centre-Back,Radomiak,free transfer,out,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Stanislav Kritsyuk,30,Goalkeeper,Gil Vicente,free transfer,out,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Bruno Ramires,27,Central Midfield,Bengaluru FC,free transfer,out,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Rúben Lima,31,Left-Back,Famalicão,free transfer,out,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Guilherme Oliveira,26,Goalkeeper,Torreense,free transfer,out,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Silvestre Varela,36,Left Winger,FC Porto B,free transfer,out,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Dieguinho,29,Right Winger,Mafra,?,out,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Afonso Taira,29,Defensive Midfield,Casa Pia,?,out,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,Robinho,24,Right Winger,Penafiel,?,out,Summer,NA,Liga Nos,2021,2021/2022
Belenenses SAD,André Moreira,25,Goalkeeper,Grasshoppers,?,out,Summer,NA,Liga Nos,2021,2021/2022
